branch	profile	model	nodes	duration_ms
master	1x3	PeerTrust	250	1306
master	1x3	PeerTrust	500	7438
master	1x3	PeerTrust	1000	75402
master	1x3	BTRM_WSN	250	1258
master	1x3	BTRM_WSN	500	6257
master	1x3	BTRM_WSN	1000	58384
master	2x5	PeerTrust	250	1703
master	2x5	PeerTrust	500	11657
master	2x5	PeerTrust	1000	134055
master	2x5	BTRM_WSN	250	1641
master	2x5	BTRM_WSN	500	12304
master	2x5	BTRM_WSN	1000	139610
combined_export_interface	1x3	PeerTrust	250	188
combined_export_interface	1x3	PeerTrust	500	610
combined_export_interface	1x3	PeerTrust	1000	4478
combined_export_interface	1x3	BTRM_WSN	250	380
combined_export_interface	1x3	BTRM_WSN	500	1469
combined_export_interface	1x3	BTRM_WSN	1000	9114
combined_export_interface	1x3	EigenTrust	250	1676
combined_export_interface	1x3	EigenTrust	500	10861
combined_export_interface	1x3	EigenTrust	1000	92722
combined_export_interface	1x3	PowerTrust	250	142
combined_export_interface	1x3	PowerTrust	500	799
combined_export_interface	1x3	PowerTrust	1000	5371
combined_export_interface	1x3	LFTM	250	441
combined_export_interface	1x3	LFTM	500	1619
combined_export_interface	1x3	LFTM	1000	11306
combined_export_interface	1x3	TRIP	250	4524
combined_export_interface	1x3	TRIP	500	74495
combined_export_interface	2x5	PeerTrust	250	315
combined_export_interface	2x5	PeerTrust	500	1248
combined_export_interface	2x5	PeerTrust	1000	9476
combined_export_interface	2x5	BTRM_WSN	250	590
combined_export_interface	2x5	BTRM_WSN	500	2737
combined_export_interface	2x5	BTRM_WSN	1000	24169
