TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-22 08:00:00
Scenario: drone-contested  |  Model: BTRM_WSN  |  Total Records: 40

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-22 08:01:07	BTRM_WSN	YES	0,78350	3,87133	10877,46486	3158,53585	651,92904	5749,83243	255,47203	0,0	0,0	61	3	2	6	8	76.25%	3.75%	2.50%	7.50%	10.00%
2	2026-03-22 08:02:14	BTRM_WSN	YES	0,84847	3,25355	18605,87359	5186,21250	1129,80636	7353,30182	403,43993	0,0	0,0	64	1	1	10	4	80.00%	1.25%	1.25%	12.50%	5.00%
3	2026-03-22 08:03:21	BTRM_WSN	YES	0,87323	4,17982	20347,51297	4152,33604	526,76366	3419,57844	355,57739	0,0	0,0	62	0	1	12	5	77.50%	0.00%	1.25%	15.00%	6.25%
4	2026-03-22 08:04:28	BTRM_WSN	YES	0,85507	3,98739	13475,16883	6644,95457	1495,80419	3647,98887	315,79896	0,0	0,0	62	3	2	6	7	77.50%	3.75%	2.50%	7.50%	8.75%
5	2026-03-22 08:05:35	BTRM_WSN	YES	0,82754	3,18791	18975,74015	2354,38205	1474,39404	3696,36131	331,26097	0,0	0,0	61	3	2	8	6	76.25%	3.75%	2.50%	10.00%	7.50%
6	2026-03-22 08:06:42	BTRM_WSN	YES	0,78616	4,42892	22083,30842	3137,73689	1682,52819	4816,34382	396,49897	0,0	0,0	56	3	1	9	11	70.00%	3.75%	1.25%	11.25%	13.75%
7	2026-03-22 08:07:49	BTRM_WSN	YES	0,81329	3,23725	19057,60106	4021,54126	1672,88341	3926,34046	358,47958	0,0	0,0	58	3	1	9	9	72.50%	3.75%	1.25%	11.25%	11.25%
8	2026-03-22 08:08:56	BTRM_WSN	YES	0,80318	3,83618	16709,77413	7353,88418	734,51308	7296,16785	401,17924	0,0	0,0	59	1	2	11	7	73.75%	1.25%	2.50%	13.75%	8.75%
9	2026-03-22 08:09:03	BTRM_WSN	YES	0,84267	4,94622	13266,97287	2850,54941	1544,47158	2434,04963	251,20054	0,0	0,0	60	2	0	10	8	75.00%	2.50%	0.00%	12.50%	10.00%
10	2026-03-22 08:10:10	BTRM_WSN	YES	0,81498	4,75010	18164,35899	6758,32709	1464,23884	5524,55731	398,89353	0,0	0,0	58	3	0	9	10	72.50%	3.75%	0.00%	11.25%	12.50%
11	2026-03-22 08:11:17	BTRM_WSN	YES	0,86427	3,87627	22947,10492	5590,32714	1758,74376	3663,35692	424,49416	0,0	0,0	66	1	1	6	6	82.50%	1.25%	1.25%	7.50%	7.50%
12	2026-03-22 08:12:24	BTRM_WSN	YES	0,83763	4,76201	18019,61391	2978,92124	1369,07716	2128,43445	306,20058	0,0	0,0	66	2	2	6	4	82.50%	2.50%	2.50%	7.50%	5.00%
13	2026-03-22 08:13:31	BTRM_WSN	YES	0,78523	3,96847	16647,08594	6808,30334	1735,51115	4633,67166	372,80715	0,0	0,0	57	0	2	12	9	71.25%	0.00%	2.50%	15.00%	11.25%
14	2026-03-22 08:14:38	BTRM_WSN	YES	0,87319	3,09197	14408,64322	5921,07717	654,27967	4786,78453	322,13481	0,0	0,0	64	3	2	5	6	80.00%	3.75%	2.50%	6.25%	7.50%
15	2026-03-22 08:15:45	BTRM_WSN	YES	0,78434	3,80065	20216,38710	7257,77432	1119,93335	6523,20879	438,96629	0,0	0,0	58	3	2	9	8	72.50%	3.75%	2.50%	11.25%	10.00%
16	2026-03-22 08:16:52	BTRM_WSN	YES	0,78879	4,76556	14861,45489	2293,01363	1150,33533	3610,82053	273,94530	0,0	0,0	62	3	2	4	9	77.50%	3.75%	2.50%	5.00%	11.25%
17	2026-03-22 08:17:59	BTRM_WSN	YES	0,78977	4,73786	19776,28158	2423,38888	1919,07690	5878,05661	374,96005	0,0	0,0	61	1	1	11	6	76.25%	1.25%	1.25%	13.75%	7.50%
18	2026-03-22 08:18:06	BTRM_WSN	YES	0,81709	3,18559	17617,24359	2495,33489	1569,81896	3246,39052	311,60985	0,0	0,0	64	0	1	9	6	80.00%	0.00%	1.25%	11.25%	7.50%
19	2026-03-22 08:19:13	BTRM_WSN	YES	0,87216	4,07626	22501,06552	3337,78446	1622,62474	3362,44847	385,29904	0,0	0,0	64	3	1	8	4	80.00%	3.75%	1.25%	10.00%	5.00%
20	2026-03-22 08:20:20	BTRM_WSN	YES	0,78808	3,55950	16731,96824	5207,42733	701,60996	6075,02162	358,95034	0,0	0,0	60	1	1	9	9	75.00%	1.25%	1.25%	11.25%	11.25%
21	2026-03-22 08:21:27	BTRM_WSN	YES	0,85879	4,87980	20667,30969	7651,16773	617,12884	7094,65799	450,37830	0,0	0,0	64	4	1	7	4	80.00%	5.00%	1.25%	8.75%	5.00%
22	2026-03-22 08:22:34	BTRM_WSN	YES	0,87384	3,04060	14166,50138	6212,78445	1254,56653	6999,96158	357,92267	0,0	0,0	65	1	2	6	6	81.25%	1.25%	2.50%	7.50%	7.50%
23	2026-03-22 08:23:41	BTRM_WSN	YES	0,83398	3,09046	15029,74301	4718,77431	1474,13297	3732,49406	311,93930	0,0	0,0	59	1	2	9	9	73.75%	1.25%	2.50%	11.25%	11.25%
24	2026-03-22 08:24:48	BTRM_WSN	YES	0,84389	3,70572	14982,06824	5911,70224	1002,93349	5422,80063	341,49381	0,0	0,0	64	2	1	5	8	80.00%	2.50%	1.25%	6.25%	10.00%
25	2026-03-22 08:25:55	BTRM_WSN	YES	0,79467	4,53657	12895,19293	3634,04400	1236,67981	7536,05467	316,27464	0,0	0,0	61	1	1	12	5	76.25%	1.25%	1.25%	15.00%	6.25%
26	2026-03-22 08:26:02	BTRM_WSN	YES	0,79797	4,83309	19484,10850	3782,95483	1960,34501	6800,25739	400,34582	0,0	0,0	61	1	1	8	9	76.25%	1.25%	1.25%	10.00%	11.25%
27	2026-03-22 08:27:09	BTRM_WSN	YES	0,78595	3,49658	12342,97685	3636,40246	793,05494	5249,92856	275,27954	0,0	0,0	56	1	1	15	7	70.00%	1.25%	1.25%	18.75%	8.75%
28	2026-03-22 08:28:16	BTRM_WSN	YES	0,83383	3,15771	14479,02919	7530,56046	1118,75225	4896,73473	350,31346	0,0	0,0	60	1	0	13	6	75.00%	1.25%	0.00%	16.25%	7.50%
29	2026-03-22 08:29:23	BTRM_WSN	YES	0,85290	4,94632	14841,62388	6262,16300	1221,38780	3723,03222	325,60259	0,0	0,0	66	2	0	4	8	82.50%	2.50%	0.00%	5.00%	10.00%
