ID,Timestamp,Model,Satisfied,Avg_Satisfaction,Avg_Path_Length,Client_Energy,Malicious_Energy,Benevolent_Energy,Relay_Energy,Avg_Sensor_Energy
1,2026-03-22 08:01:07,LFTM,YES,0.84111,4.71542,15578.60717,3874.64438,1335.01074,7533.82286,354.02606
2,2026-03-22 08:02:14,LFTM,YES,0.87376,3.9418,21931.05055,7069.59088,1571.15007,3881.16578,430.66197
3,2026-03-22 08:03:21,LFTM,YES,0.88068,2.82709,17573.50018,4369.43446,1267.04652,4106.80027,341.45977
4,2026-03-22 08:04:28,LFTM,YES,0.81846,4.68382,18745.16882,7096.92628,1328.99229,5209.55001,404.75797
5,2026-03-22 08:05:35,LFTM,YES,0.80749,4.51957,22557.93996,5003.13347,1003.59167,4234.76925,409.99293
6,2026-03-22 08:06:42,LFTM,YES,0.83352,4.29078,11553.74231,6996.71595,867.98393,7076.68745,331.18912
7,2026-03-22 08:07:49,LFTM,YES,0.8077,4.25072,20843.56559,2612.52502,1707.53231,6504.6707,395.85367
8,2026-03-22 08:08:56,LFTM,YES,0.80581,3.04974,14312.0534,2544.1718,1544.73136,6488.66406,311.12026
9,2026-03-22 08:09:03,LFTM,YES,0.81811,3.53822,12316.58555,7182.87606,1961.60437,7605.55173,363.33272
10,2026-03-22 08:10:10,LFTM,YES,0.8237,3.99749,12418.99992,5589.89539,551.25615,3397.73894,274.47363
11,2026-03-22 08:11:17,LFTM,YES,0.89541,3.00724,13832.38925,5149.96187,1605.78926,4257.1624,310.56628
12,2026-03-22 08:12:24,LFTM,YES,0.83477,3.59719,13835.57021,3503.94756,701.52513,7811.52331,323.15708
13,2026-03-22 08:13:31,LFTM,YES,0.86906,3.96998,11699.48533,4102.28667,705.89836,3780.76579,253.60545
14,2026-03-22 08:14:38,LFTM,YES,0.85428,3.41024,21720.9977,3273.27066,635.80592,6986.08508,407.70199
15,2026-03-22 08:15:45,LFTM,YES,0.84818,3.02086,16588.11771,6068.36217,659.20898,2974.36348,328.62565
16,2026-03-22 08:16:52,LFTM,YES,0.89583,2.93589,23195.05218,4164.8583,1434.34046,7846.30258,458.00692
17,2026-03-22 08:17:59,LFTM,YES,0.86992,4.02203,14557.56532,6847.48176,1508.62339,4451.35429,342.06281
18,2026-03-22 08:18:06,LFTM,YES,0.82733,4.4128,12528.85102,3641.60467,1285.85615,5763.13342,290.24307
19,2026-03-22 08:19:13,LFTM,YES,0.86645,4.84135,15906.38569,6191.26595,762.15971,5726.30888,357.3265
20,2026-03-22 08:20:20,LFTM,YES,0.87769,3.22406,19343.74677,5066.98964,927.73122,4125.78999,368.30322
21,2026-03-22 08:21:27,LFTM,YES,0.84218,4.72137,15918.64748,4021.62723,1102.03158,4793.02337,322.94162
22,2026-03-22 08:22:34,LFTM,YES,0.86919,3.83211,12854.20538,6408.55298,1270.93149,2778.94646,291.40795
23,2026-03-22 08:23:41,LFTM,YES,0.84664,4.59414,17432.2261,4478.73968,1281.93052,7732.50686,386.56754
24,2026-03-22 08:24:48,LFTM,YES,0.80276,2.89475,21494.29007,4225.81689,1657.92684,2304.6741,371.03385
25,2026-03-22 08:25:55,LFTM,YES,0.83502,3.53767,19333.25207,3623.30289,1515.08589,5557.05708,375.35872
26,2026-03-22 08:26:02,LFTM,YES,0.80193,3.48485,16869.18545,7287.0427,1393.4351,7333.10661,411.03462
27,2026-03-22 08:27:09,LFTM,YES,0.83702,3.61963,18242.22533,6959.54308,682.08616,6031.88995,398.94681
28,2026-03-22 08:28:16,LFTM,YES,0.86025,3.563,16562.69093,5106.86268,1817.94782,6676.11025,377.04515
29,2026-03-22 08:29:23,LFTM,YES,0.89763,3.64426,13978.39752,6570.18375,669.77591,7004.07458,352.7804
30,2026-03-22 08:30:30,LFTM,YES,0.84658,3.24045,20986.51652,6026.64404,988.80746,6773.72859,434.69621
31,2026-03-22 08:31:37,LFTM,YES,0.86125,3.75178,20590.33924,3224.57506,558.27705,6194.15696,382.09185
32,2026-03-22 08:32:44,LFTM,YES,0.87274,3.78132,22727.10398,5319.68004,1463.92189,6572.4352,451.03926
33,2026-03-22 08:33:51,LFTM,YES,0.8357,3.11026,13050.81364,6227.57449,986.41903,4653.48551,311.47866
34,2026-03-22 08:34:58,LFTM,YES,0.84042,4.52979,19146.32464,3675.85748,1443.87305,4483.72915,359.3723
35,2026-03-22 08:35:05,LFTM,YES,0.84549,3.97563,16564.43481,5999.1862,586.24568,3066.31131,327.70222
36,2026-03-22 08:36:12,LFTM,YES,0.81725,4.59029,23054.57875,5040.75969,560.26129,7092.60802,446.8526
37,2026-03-22 08:37:19,LFTM,YES,0.83989,3.56321,19286.39642,2687.32244,1963.60646,6314.34811,378.14592
38,2026-03-22 08:38:26,LFTM,YES,0.85115,4.54086,22880.99635,7692.75597,912.74825,7236.24796,484.03436
39,2026-03-22 08:39:33,LFTM,YES,0.85726,3.6189,20405.00302,3553.83157,1172.76088,2979.59798,351.38992
40,2026-03-22 08:40:40,LFTM,YES,0.85777,3.82975,15808.87131,7794.82979,1011.06472,4586.74257,365.01885
