TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-22 08:00:00
Scenario: drone-contested  |  Model: PeerTrust  |  Total Records: 40

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-22 08:01:07	PeerTrust	YES	0,81525	4,18838	19554,25786	5158,25591	830,61605	5644,36741	389,84372	0,0	0,0	58	2	1	9	10	72.50%	2.50%	1.25%	11.25%	12.50%
2	2026-03-22 08:02:14	PeerTrust	YES	0,79143	4,25727	16883,50856	6767,73370	746,64360	7257,35896	395,69056	0,0	0,0	56	3	2	13	6	70.00%	3.75%	2.50%	16.25%	7.50%
3	2026-03-22 08:03:21	PeerTrust	YES	0,76498	4,33574	18091,89473	2525,09143	1643,84703	6879,93845	364,25965	0,0	0,0	59	0	0	11	10	73.75%	0.00%	0.00%	13.75%	12.50%
4	2026-03-22 08:04:28	PeerTrust	YES	0,73650	4,42814	14984,80059	5352,00221	773,93327	5748,34233	335,73848	0,0	0,0	54	4	1	10	11	67.50%	5.00%	1.25%	12.50%	13.75%
5	2026-03-22 08:05:35	PeerTrust	YES	0,83497	4,18682	21799,67349	3996,73483	625,00237	2044,65589	355,82583	0,0	0,0	65	1	1	7	6	81.25%	1.25%	1.25%	8.75%	7.50%
6	2026-03-22 08:06:42	PeerTrust	YES	0,76378	4,47221	11110,96408	6079,45392	1649,05460	3975,84547	285,19148	0,0	0,0	59	1	2	6	12	73.75%	1.25%	2.50%	7.50%	15.00%
7	2026-03-22 08:07:49	PeerTrust	YES	0,76689	3,89532	14902,08057	4213,07726	1263,16630	5643,68158	325,27507	0,0	0,0	57	2	2	12	7	71.25%	2.50%	2.50%	15.00%	8.75%
8	2026-03-22 08:08:56	PeerTrust	YES	0,82216	3,48567	21970,74449	5886,38328	687,98843	2394,60298	386,74649	0,0	0,0	58	2	1	11	8	72.50%	2.50%	1.25%	13.75%	10.00%
9	2026-03-22 08:09:03	PeerTrust	YES	0,84079	3,31166	17885,79335	4411,96170	1138,44012	6339,10633	372,19127	0,0	0,0	63	1	1	9	6	78.75%	1.25%	1.25%	11.25%	7.50%
10	2026-03-22 08:10:10	PeerTrust	YES	0,78645	4,22511	14586,03315	3077,58800	1346,40256	5178,66175	302,35857	0,0	0,0	61	2	1	9	7	76.25%	2.50%	1.25%	11.25%	8.75%
11	2026-03-22 08:11:17	PeerTrust	YES	0,78572	4,01743	21749,68467	5295,26755	1486,83556	2622,40403	389,42740	0,0	0,0	58	1	2	9	10	72.50%	1.25%	2.50%	11.25%	12.50%
12	2026-03-22 08:12:24	PeerTrust	YES	0,83996	5,55917	19457,00290	4696,63070	609,52844	6894,53513	395,72121	0,0	0,0	60	3	2	9	6	75.00%	3.75%	2.50%	11.25%	7.50%
13	2026-03-22 08:13:31	PeerTrust	YES	0,72768	4,68422	19678,12977	3812,49838	573,88398	3889,50394	349,42520	0,0	0,0	56	2	1	10	11	70.00%	2.50%	1.25%	12.50%	13.75%
