TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-22 08:00:00
Scenario: drone-contested  |  Model: TRIP  |  Total Records: 40

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-22 08:01:07	TRIP	YES	0,89393	3,85942	17111,39224	5133,88914	1986,00529	4215,50535	355,58490	0,0	0,0	68	1	0	8	3	85.00%	1.25%	0.00%	10.00%	3.75%
2	2026-03-22 08:02:14	TRIP	YES	0,84232	3,43384	13890,21978	7607,14882	1062,29562	5714,32778	353,42490	0,0	0,0	65	1	1	6	7	81.25%	1.25%	1.25%	7.50%	8.75%
3	2026-03-22 08:03:21	TRIP	YES	0,87687	5,10755	21680,12547	6198,45054	1671,26033	6852,35954	455,02745	0,0	0,0	67	2	1	4	6	83.75%	2.50%	1.25%	5.00%	7.50%
4	2026-03-22 08:04:28	TRIP	YES	0,88043	4,43423	12739,52624	3370,92081	1472,85347	2772,30487	254,44507	0,0	0,0	65	1	1	6	7	81.25%	1.25%	1.25%	7.50%	8.75%
5	2026-03-22 08:05:35	TRIP	YES	0,81442	2,94170	22287,50756	4311,55193	784,25242	7040,05880	430,29213	0,0	0,0	63	0	1	11	5	78.75%	0.00%	1.25%	13.75%	6.25%
6	2026-03-22 08:06:42	TRIP	YES	0,86805	3,17758	13946,01461	3719,19818	1064,09929	4265,26453	287,43221	0,0	0,0	61	1	0	11	7	76.25%	1.25%	0.00%	13.75%	8.75%
7	2026-03-22 08:07:49	TRIP	YES	0,87487	4,08539	19602,47080	6397,23736	1967,01343	4750,04277	408,95955	0,0	0,0	65	0	0	9	6	81.25%	0.00%	0.00%	11.25%	7.50%
8	2026-03-22 08:08:56	TRIP	YES	0,86739	4,69896	23131,77037	7096,95306	604,63293	2798,76306	420,40149	0,0	0,0	65	4	0	4	7	81.25%	5.00%	0.00%	5.00%	8.75%
9	2026-03-22 08:09:03	TRIP	YES	0,83746	3,91549	17524,88703	6553,33481	692,91313	5978,43574	384,36963	0,0	0,0	61	3	1	10	5	76.25%	3.75%	1.25%	12.50%	6.25%
10	2026-03-22 08:10:10	TRIP	YES	0,84908	4,66878	14215,51402	7010,59694	1065,63291	5144,48341	342,95284	0,0	0,0	60	3	1	11	5	75.00%	3.75%	1.25%	13.75%	6.25%
11	2026-03-22 08:11:17	TRIP	YES	0,87251	3,24871	20669,54107	4697,68159	891,40029	6886,38214	414,31256	0,0	0,0	64	2	2	7	5	80.00%	2.50%	2.50%	8.75%	6.25%
12	2026-03-22 08:12:24	TRIP	YES	0,88469	3,73208	11477,98917	3049,13831	555,32102	6912,66910	274,93897	0,0	0,0	69	1	2	5	3	86.25%	1.25%	2.50%	6.25%	3.75%
13	2026-03-22 08:13:31	TRIP	YES	0,82545	3,04138	20741,74329	6121,25175	1527,85726	7477,74034	448,35741	0,0	0,0	58	3	2	9	8	72.50%	3.75%	2.50%	11.25%	10.00%
14	2026-03-22 08:14:38	TRIP	YES	0,85886	3,58017	16205,43579	6244,79782	1392,56006	3966,37614	347,61462	0,0	0,0	66	0	1	6	7	82.50%	0.00%	1.25%	7.50%	8.75%
15	2026-03-22 08:15:45	TRIP	YES	0,85961	5,01704	19993,74731	4843,74863	855,90570	5375,77646	388,36473	0,0	0,0	66	3	2	3	6	82.50%	3.75%	2.50%	3.75%	7.50%
16	2026-03-22 08:16:52	TRIP	YES	0,88347	3,83036	13605,65608	3980,14253	596,93407	4143,47347	279,07758	0,0	0,0	67	1	2	4	6	83.75%	1.25%	2.50%	5.00%	7.50%
17	2026-03-22 08:17:59	TRIP	YES	0,83669	3,11349	18107,68031	5292,37511	1705,85134	3119,36049	352,81584	0,0	0,0	59	2	1	10	8	73.75%	2.50%	1.25%	12.50%	10.00%
18	2026-03-22 08:18:06	TRIP	YES	0,88277	4,57097	23634,32469	2839,33818	632,31644	4369,38596	393,44207	0,0	0,0	67	0	2	7	4	83.75%	0.00%	2.50%	8.75%	5.00%
