SimulationID,NodeID,NodeType,EnergyConsumed,TransmittedDistance,X,Y,NeighborsCount,Goodness
1,1,Client,"1545,86523","154586,52",63.9,55.54,1,"-1,00"
1,2,Client,"3688,25889","368825,89",47.95,6.05,4,"-1,00"
1,3,Client,"5517,92677","551792,68",15.22,32.67,7,"-1,00"
1,4,Client,"3852,52039","385252,04",3.85,75.49,8,"-1,00"
1,5,Client,"2257,63871","225763,87",41.83,8.52,4,"-1,00"
1,6,Client,"1873,86832","187386,83",57.94,2.69,2,"-1,00"
1,7,Malicious Server,"150,76109","15076,11",88.26,17.76,4,"0,00"
1,8,Malicious Server,"39,28874","3928,87",62.26,61.79,5,"0,00"
1,9,Malicious Server,"176,48521","17648,52",17.35,21.35,5,"0,00"
1,10,Malicious Server,"104,07814","10407,81",26.99,13.44,5,"0,00"
1,11,Malicious Server,"143,92299","14392,30",94.9,66.5,7,"0,00"
1,12,Malicious Server,"56,85276","5685,28",39.2,12.25,4,"0,00"
1,13,Malicious Server,"114,23739","11423,74",73.74,81.96,4,"0,00"
1,14,Malicious Server,"328,89982","32889,98",36.65,7.22,4,"0,00"
1,15,Malicious Server,"257,55670","25755,67",26.22,51.07,5,"0,00"
1,16,Malicious Server,"96,36843","9636,84",84.59,21.81,7,"0,00"
1,17,Malicious Server,"195,45677","19545,68",39.51,74.37,8,"0,00"
1,18,Malicious Server,"178,01679","17801,68",78.32,66.03,4,"0,00"
1,19,Malicious Server,"43,18729","4318,73",2.03,5.0,1,"0,00"
1,20,Malicious Server,"356,97760","35697,76",91.3,31.13,7,"0,00"
1,21,Malicious Server,"322,43098","32243,10",11.33,37.33,4,"0,00"
1,22,Malicious Server,"328,20738","32820,74",37.79,28.88,1,"0,00"
1,23,Malicious Server,"54,88538","5488,54",13.53,15.62,8,"0,00"
1,24,Malicious Server,"361,06845","36106,85",78.85,21.65,1,"0,00"
1,25,Malicious Server,"359,65469","35965,47",18.76,12.81,4,"0,00"
1,26,Malicious Server,"226,41035","22641,03",68.71,28.22,1,"0,00"
1,27,Malicious Server,"197,62798","19762,80",72.22,16.72,2,"0,00"
1,28,Malicious Server,"122,41322","12241,32",5.57,43.52,8,"0,00"
1,29,Malicious Server,"229,48349","22948,35",57.37,6.23,2,"0,00"
1,30,Malicious Server,"366,04287","36604,29",70.15,71.01,4,"0,00"
1,31,Malicious Server,"95,17849","9517,85",28.11,85.71,4,"0,00"
1,32,Malicious Server,"274,49026","27449,03",97.6,6.24,7,"0,00"
1,33,Malicious Server,"217,28217","21728,22",78.03,70.69,1,"0,00"
1,34,Malicious Server,"61,77446","6177,45",37.26,80.79,3,"0,00"
1,35,Malicious Server,"205,77429","20577,43",71.72,53.91,6,"0,00"
1,36,Malicious Server,"170,41469","17041,47",18.7,40.57,8,"0,00"
1,37,Benevolent Server,"619,74701","61974,70",16.17,66.58,8,"1,00"
1,38,Benevolent Server,"321,51371","32151,37",94.29,10.3,5,"1,00"
1,39,Benevolent Server,"347,46019","34746,02",36.43,46.79,3,"1,00"
1,40,Benevolent Server,"354,42743","35442,74",90.16,96.34,3,"1,00"
1,41,Relay/Other,"138,71952","13871,95",81.87,17.31,3,"-1,00"
1,42,Relay/Other,"249,03389","24903,39",81.17,40.05,7,"-1,00"
1,43,Relay/Other,"271,80934","27180,93",54.22,51.88,1,"-1,00"
1,44,Relay/Other,"90,17079","9017,08",92.46,73.01,6,"-1,00"
1,45,Relay/Other,"92,70575","9270,57",82.3,37.84,7,"-1,00"
1,46,Relay/Other,"168,65642","16865,64",23.03,35.71,7,"-1,00"
1,47,Relay/Other,"229,22579","22922,58",23.68,63.81,3,"-1,00"
1,48,Relay/Other,"242,84806","24284,81",20.08,2.06,2,"-1,00"
1,49,Relay/Other,"177,01898","17701,90",68.71,31.43,7,"-1,00"
1,50,Relay/Other,"59,66805","5966,81",63.27,93.35,4,"-1,00"
1,51,Relay/Other,"23,27926","2327,93",13.62,19.83,2,"-1,00"
1,52,Relay/Other,"55,84728","5584,73",13.42,92.71,7,"-1,00"
1,53,Relay/Other,"57,47694","5747,69",34.94,37.99,5,"-1,00"
1,54,Relay/Other,"120,64520","12064,52",47.93,61.02,1,"-1,00"
1,55,Relay/Other,"225,45090","22545,09",50.0,35.74,5,"-1,00"
1,56,Relay/Other,"209,76066","20976,07",38.84,53.75,2,"-1,00"
1,57,Relay/Other,"119,42554","11942,55",86.54,93.12,8,"-1,00"
1,58,Relay/Other,"159,86160","15986,16",94.43,74.87,2,"-1,00"
1,59,Relay/Other,"121,34577","12134,58",9.96,71.53,2,"-1,00"
1,60,Relay/Other,"146,14719","14614,72",25.17,96.46,1,"-1,00"
1,61,Relay/Other,"100,35610","10035,61",69.59,45.32,7,"-1,00"
1,62,Relay/Other,"76,96560","7696,56",58.97,66.82,1,"-1,00"
1,63,Relay/Other,"166,72430","16672,43",50.2,46.47,7,"-1,00"
1,64,Relay/Other,"167,03478","16703,48",71.54,26.31,2,"-1,00"
1,65,Relay/Other,"144,44527","14444,53",88.62,30.17,3,"-1,00"
1,66,Relay/Other,"62,20632","6220,63",42.97,67.93,2,"-1,00"
1,67,Relay/Other,"76,10243","7610,24",2.55,76.47,3,"-1,00"
1,68,Relay/Other,"70,71003","7071,00",19.54,34.65,8,"-1,00"
1,69,Relay/Other,"76,04237","7604,24",69.27,89.52,2,"-1,00"
1,70,Relay/Other,"40,54510","4054,51",95.96,60.1,1,"-1,00"
1,71,Relay/Other,"92,60143","9260,14",69.1,3.97,6,"-1,00"
1,72,Relay/Other,"72,43303","7243,30",47.47,28.77,7,"-1,00"
1,73,Relay/Other,"29,87978","2987,98",86.27,65.81,8,"-1,00"
1,74,Relay/Other,"158,10284","15810,28",89.04,86.05,2,"-1,00"
1,75,Relay/Other,"26,85227","2685,23",19.93,20.87,6,"-1,00"
1,76,Relay/Other,"123,27664","12327,66",95.2,65.0,7,"-1,00"
1,77,Relay/Other,"29,51703","2951,70",21.43,30.83,7,"-1,00"
1,78,Relay/Other,"24,32609","2432,61",77.66,12.82,5,"-1,00"
1,79,Relay/Other,"53,59376","5359,38",86.52,15.16,4,"-1,00"
1,80,Relay/Other,"229,17703","22917,70",20.11,47.58,8,"-1,00"
2,1,Client,"1356,65708","135665,71",55.09,62.19,2,"-1,00"
2,2,Client,"1158,32361","115832,36",50.95,84.67,2,"-1,00"
2,3,Client,"4400,38145","440038,14",8.97,17.81,7,"-1,00"
2,4,Client,"2925,51863","292551,86",23.63,27.2,1,"-1,00"
2,5,Client,"1503,38314","150338,31",32.77,39.88,4,"-1,00"
2,6,Client,"4802,16497","480216,50",39.51,60.22,4,"-1,00"
2,7,Malicious Server,"120,08090","12008,09",61.03,77.88,7,"0,00"
2,8,Malicious Server,"257,45519","25745,52",17.1,59.5,5,"0,00"
2,9,Malicious Server,"82,21825","8221,82",59.58,42.06,2,"0,00"
2,10,Malicious Server,"277,87954","27787,95",76.2,5.84,5,"0,00"
2,11,Malicious Server,"141,06704","14106,70",79.45,90.04,5,"0,00"
2,12,Malicious Server,"264,10452","26410,45",90.26,84.12,8,"0,00"
2,13,Malicious Server,"147,26662","14726,66",85.63,68.09,3,"0,00"
2,14,Malicious Server,"82,64137","8264,14",49.01,34.87,2,"0,00"
2,15,Malicious Server,"86,24707","8624,71",28.04,29.74,4,"0,00"
2,16,Malicious Server,"195,63631","19563,63",89.09,56.34,6,"0,00"
2,17,Malicious Server,"164,62940","16462,94",34.16,66.91,5,"0,00"
2,18,Malicious Server,"110,76262","11076,26",65.27,75.76,3,"0,00"
