SimulationID,NodeID,NodeType,EnergyConsumed
1,1,Client,"1545,86523"
1,2,Client,"3688,25889"
1,3,Client,"5517,92677"
1,4,Client,"3852,52039"
1,5,Client,"2257,63871"
1,6,Client,"1873,86832"
1,7,Malicious Server,"150,76109"
1,8,Malicious Server,"39,28874"
1,9,Malicious Server,"176,48521"
1,10,Malicious Server,"104,07814"
1,11,Malicious Server,"143,92299"
1,12,Malicious Server,"56,85276"
1,13,Malicious Server,"114,23739"
1,14,Malicious Server,"328,89982"
1,15,Malicious Server,"257,55670"
1,16,Malicious Server,"96,36843"
1,17,Malicious Server,"195,45677"
1,18,Malicious Server,"178,01679"
1,19,Malicious Server,"43,18729"
1,20,Malicious Server,"356,97760"
1,21,Malicious Server,"322,43098"
1,22,Malicious Server,"328,20738"
1,23,Malicious Server,"54,88538"
1,24,Malicious Server,"361,06845"
1,25,Malicious Server,"359,65469"
1,26,Malicious Server,"226,41035"
1,27,Malicious Server,"197,62798"
1,28,Malicious Server,"122,41322"
1,29,Malicious Server,"229,48349"
1,30,Malicious Server,"366,04287"
1,31,Malicious Server,"95,17849"
1,32,Malicious Server,"274,49026"
1,33,Malicious Server,"217,28217"
1,34,Malicious Server,"61,77446"
1,35,Malicious Server,"205,77429"
1,36,Malicious Server,"170,41469"
1,37,Benevolent Server,"619,74701"
1,38,Benevolent Server,"321,51371"
1,39,Benevolent Server,"347,46019"
1,40,Benevolent Server,"354,42743"
1,41,Relay/Other,"138,71952"
1,42,Relay/Other,"249,03389"
1,43,Relay/Other,"271,80934"
1,44,Relay/Other,"90,17079"
1,45,Relay/Other,"92,70575"
1,46,Relay/Other,"168,65642"
1,47,Relay/Other,"229,22579"
1,48,Relay/Other,"242,84806"
1,49,Relay/Other,"177,01898"
1,50,Relay/Other,"59,66805"
1,51,Relay/Other,"23,27926"
1,52,Relay/Other,"55,84728"
1,53,Relay/Other,"57,47694"
1,54,Relay/Other,"120,64520"
1,55,Relay/Other,"225,45090"
1,56,Relay/Other,"209,76066"
1,57,Relay/Other,"119,42554"
1,58,Relay/Other,"159,86160"
1,59,Relay/Other,"121,34577"
1,60,Relay/Other,"146,14719"
1,61,Relay/Other,"100,35610"
1,62,Relay/Other,"76,96560"
1,63,Relay/Other,"166,72430"
1,64,Relay/Other,"167,03478"
1,65,Relay/Other,"144,44527"
1,66,Relay/Other,"62,20632"
1,67,Relay/Other,"76,10243"
1,68,Relay/Other,"70,71003"
1,69,Relay/Other,"76,04237"
1,70,Relay/Other,"40,54510"
1,71,Relay/Other,"92,60143"
1,72,Relay/Other,"72,43303"
1,73,Relay/Other,"29,87978"
1,74,Relay/Other,"158,10284"
1,75,Relay/Other,"26,85227"
1,76,Relay/Other,"123,27664"
1,77,Relay/Other,"29,51703"
1,78,Relay/Other,"24,32609"
1,79,Relay/Other,"53,59376"
1,80,Relay/Other,"229,17703"
2,1,Client,"1356,65708"
2,2,Client,"1158,32361"
2,3,Client,"4400,38145"
2,4,Client,"2925,51863"
2,5,Client,"1503,38314"
2,6,Client,"4802,16497"
