TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-21 08:00:00
Scenario: drone-logistics  |  Model: BTRM_WSN  |  Total Records: 30

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-21 08:01:07	BTRM_WSN	YES	0,98655	3,66204	26422,93281	1021,68083	2068,61606	8949,65130	192,31440	0,0	0,0	193	10	3	0	2	96.50%	5.00%	1.50%	0.00%	1.00%
2	2026-03-21 08:02:14	BTRM_WSN	YES	0,98797	3,94148	17519,59191	1115,40146	2467,09127	8064,55229	145,83318	0,0	0,0	187	7	5	0	1	93.50%	3.50%	2.50%	0.00%	0.50%
3	2026-03-21 08:03:21	BTRM_WSN	YES	0,97858	5,14879	29645,33364	1374,54958	1124,55282	4364,34239	182,54389	0,0	0,0	185	8	1	4	2	92.50%	4.00%	0.50%	2.00%	1.00%
4	2026-03-21 08:04:28	BTRM_WSN	YES	0,97859	3,77629	30189,18175	1629,70417	1920,66467	9656,26735	216,97909	0,0	0,0	173	1	5	18	3	86.50%	0.50%	2.50%	9.00%	1.50%
5	2026-03-21 08:05:35	BTRM_WSN	YES	0,98901	5,18914	28492,22288	1433,13124	1750,90664	9923,47240	207,99867	0,0	0,0	190	7	6	0	1	95.00%	3.50%	3.00%	0.00%	0.50%
6	2026-03-21 08:06:42	BTRM_WSN	YES	0,98091	5,40041	32576,89764	1055,23405	2678,76756	3212,79757	197,61848	0,0	0,0	178	8	5	7	2	89.00%	4.00%	2.50%	3.50%	1.00%
7	2026-03-21 08:07:49	BTRM_WSN	YES	0,99109	5,29642	27831,00871	1564,40123	3277,56773	7855,55169	202,64265	0,0	0,0	186	10	2	1	1	93.00%	5.00%	1.00%	0.50%	0.50%
8	2026-03-21 08:08:56	BTRM_WSN	YES	0,97608	4,77012	18772,09018	844,16860	2565,84822	6381,62458	142,81866	0,0	0,0	180	1	4	12	3	90.00%	0.50%	2.00%	6.00%	1.50%
9	2026-03-21 08:09:03	BTRM_WSN	YES	0,97787	3,96029	27919,56269	815,30466	1503,42498	5906,88126	180,72587	0,0	0,0	173	6	4	14	3	86.50%	3.00%	2.00%	7.00%	1.50%
10	2026-03-21 08:10:10	BTRM_WSN	YES	0,98328	4,51716	21766,49779	1771,72780	1987,68407	5013,66953	152,69790	0,0	0,0	177	5	2	15	1	88.50%	2.50%	1.00%	7.50%	0.50%
11	2026-03-21 08:11:17	BTRM_WSN	YES	0,98435	3,41147	19370,96642	904,29779	2029,05637	6238,94107	142,71631	0,0	0,0	178	5	6	9	2	89.00%	2.50%	3.00%	4.50%	1.00%
12	2026-03-21 08:12:24	BTRM_WSN	YES	0,99094	5,45661	15654,06469	1596,78647	2364,71838	10969,11919	152,92344	0,0	0,0	187	10	4	0	1	93.50%	5.00%	2.00%	0.00%	0.50%
13	2026-03-21 08:13:31	BTRM_WSN	YES	0,97938	5,30664	32037,28423	1166,53142	2643,70007	5560,61225	207,04064	0,0	0,0	190	4	5	0	3	95.00%	2.00%	2.50%	0.00%	1.50%
14	2026-03-21 08:14:38	BTRM_WSN	YES	0,98225	3,30086	31219,92816	872,61883	2565,98937	11349,44283	230,03990	0,0	0,0	176	5	0	17	2	88.00%	2.50%	0.00%	8.50%	1.00%
15	2026-03-21 08:15:45	BTRM_WSN	YES	0,97351	4,74177	29037,68966	1894,72530	2301,41788	4004,16324	186,18998	0,0	0,0	182	10	5	0	3	91.00%	5.00%	2.50%	0.00%	1.50%
16	2026-03-21 08:16:52	BTRM_WSN	YES	0,98687	5,36143	28570,58945	813,70696	2404,71444	5985,92377	188,87467	0,0	0,0	175	8	3	13	1	87.50%	4.00%	1.50%	6.50%	0.50%
17	2026-03-21 08:17:59	BTRM_WSN	YES	0,98522	3,72358	20026,33928	1169,80956	2909,14093	6867,31780	154,86304	0,0	0,0	174	5	4	15	2	87.00%	2.50%	2.00%	7.50%	1.00%
18	2026-03-21 08:18:06	BTRM_WSN	YES	0,98622	4,93871	25748,14023	1645,34069	1264,13886	11174,01543	199,15818	0,0	0,0	176	3	1	18	2	88.00%	1.50%	0.50%	9.00%	1.00%
19	2026-03-21 08:19:13	BTRM_WSN	YES	0,98960	4,20666	22414,48202	1584,29921	2448,26365	7741,16955	170,94107	0,0	0,0	177	8	3	11	1	88.50%	4.00%	1.50%	5.50%	0.50%
20	2026-03-21 08:20:20	BTRM_WSN	YES	0,99408	3,53137	27352,55830	1969,53675	3395,30051	9445,12382	210,81260	0,0	0,0	182	6	3	8	1	91.00%	3.00%	1.50%	4.00%	0.50%
21	2026-03-21 08:21:27	BTRM_WSN	YES	0,97483	3,21157	25941,46053	1396,47111	3843,58920	5750,81303	184,66167	0,0	0,0	186	3	2	6	3	93.00%	1.50%	1.00%	3.00%	1.50%
22	2026-03-21 08:22:34	BTRM_WSN	YES	0,98686	4,37887	18316,70126	915,59771	3512,50768	4790,63807	137,67722	0,0	0,0	177	9	5	7	2	88.50%	4.50%	2.50%	3.50%	1.00%
23	2026-03-21 08:23:41	BTRM_WSN	YES	0,99344	5,48692	23572,14106	1415,49021	1907,42537	3686,05599	152,90556	0,0	0,0	177	5	2	15	1	88.50%	2.50%	1.00%	7.50%	0.50%
24	2026-03-21 08:24:48	BTRM_WSN	YES	0,97495	4,70759	17250,78850	1521,66398	3705,34984	5864,73765	141,71270	0,0	0,0	180	3	4	10	3	90.00%	1.50%	2.00%	5.00%	1.50%
25	2026-03-21 08:25:55	BTRM_WSN	YES	0,98501	4,03833	21035,83029	1231,02724	1064,25405	5241,72371	142,86418	0,0	0,0	178	4	5	11	2	89.00%	2.00%	2.50%	5.50%	1.00%
26	2026-03-21 08:26:02	BTRM_WSN	YES	0,97509	4,88584	30863,00202	1283,52953	2108,28773	5757,60463	200,06212	0,0	0,0	182	6	5	5	2	91.00%	3.00%	2.50%	2.50%	1.00%
27	2026-03-21 08:27:09	BTRM_WSN	YES	0,99175	3,52200	24925,81565	980,11667	3664,69070	3765,22269	166,67923	0,0	0,0	176	5	0	18	1	88.00%	2.50%	0.00%	9.00%	0.50%
28	2026-03-21 08:28:16	BTRM_WSN	YES	0,98538	4,13181	25825,63546	1957,58144	2677,20230	7828,18312	191,44301	0,0	0,0	193	8	2	0	1	96.50%	4.00%	1.00%	0.00%	0.50%
29	2026-03-21 08:29:23	BTRM_WSN	YES	0,97714	4,97593	28331,46948	1022,31872	2420,86837	7540,58434	196,57620	0,0	0,0	180	7	5	6	2	90.00%	3.50%	2.50%	3.00%	1.00%
30	2026-03-21 08:30:30	BTRM_WSN	YES	0,99055	4,61228	18402,26216	1361,48775	2366,35031	4658,56310	133,94332	0,0	0,0	193	10	4	0	1	96.50%	5.00%	2.00%	0.00%	0.50%
