TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-21 08:00:00
Scenario: drone-logistics  |  Model: LFTM  |  Total Records: 30

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-21 08:01:07	LFTM	YES	0,98515	3,82523	19673,09838	1350,72175	1269,84071	6382,55787	143,38109	0,0	0,0	174	9	2	14	1	87.00%	4.50%	1.00%	7.00%	0.50%
2	2026-03-21 08:02:14	LFTM	YES	0,98486	4,04568	16621,94300	2119,72006	2058,69475	9307,69221	150,54025	0,0	0,0	184	8	2	4	2	92.00%	4.00%	1.00%	2.00%	1.00%
3	2026-03-21 08:03:21	LFTM	YES	0,98643	3,39985	27370,05304	1159,86297	3053,07637	10460,35434	210,21673	0,0	0,0	184	9	3	3	1	92.00%	4.50%	1.50%	1.50%	0.50%
4	2026-03-21 08:04:28	LFTM	YES	0,98241	4,99575	24417,44966	1342,09174	2904,71716	7541,07361	181,02666	0,0	0,0	176	1	4	18	1	88.00%	0.50%	2.00%	9.00%	0.50%
5	2026-03-21 08:05:35	LFTM	YES	0,97944	3,42988	22211,34611	1708,99223	1437,35727	5165,53041	152,61613	0,0	0,0	188	5	3	2	2	94.00%	2.50%	1.50%	1.00%	1.00%
6	2026-03-21 08:06:42	LFTM	YES	0,97942	3,37087	30550,56044	625,01582	1210,29588	8168,00697	202,76940	0,0	0,0	176	0	3	19	2	88.00%	0.00%	1.50%	9.50%	1.00%
7	2026-03-21 08:07:49	LFTM	YES	0,97617	3,59400	18986,66445	2084,85180	2890,05972	8081,54115	160,21559	0,0	0,0	172	7	2	16	3	86.00%	3.50%	1.00%	8.00%	1.50%
8	2026-03-21 08:08:56	LFTM	YES	0,97680	4,03317	33372,13208	1942,99174	1595,11169	10415,68128	236,62958	0,0	0,0	184	8	1	4	3	92.00%	4.00%	0.50%	2.00%	1.50%
9	2026-03-21 08:09:03	LFTM	YES	0,98885	3,60840	28618,10633	1124,56719	2449,47984	8317,71492	202,54934	0,0	0,0	179	1	1	18	1	89.50%	0.50%	0.50%	9.00%	0.50%
10	2026-03-21 08:10:10	LFTM	YES	0,99305	4,16003	23230,37172	823,31546	1370,82170	7313,85537	163,69182	0,0	0,0	187	8	3	2	0	93.50%	4.00%	1.50%	1.00%	0.00%
11	2026-03-21 08:11:17	LFTM	YES	0,97747	4,10915	18106,82048	1531,42046	3579,11577	10998,47834	171,07918	0,0	0,0	187	5	2	3	3	93.50%	2.50%	1.00%	1.50%	1.50%
12	2026-03-21 08:12:24	LFTM	YES	0,97591	4,21858	19861,90674	1841,58831	3464,45787	6485,81934	158,26886	0,0	0,0	183	8	4	2	3	91.50%	4.00%	2.00%	1.00%	1.50%
13	2026-03-21 08:13:31	LFTM	YES	0,97705	3,30793	24245,39989	952,72011	3674,34081	5628,58335	172,50522	0,0	0,0	189	2	4	3	2	94.50%	1.00%	2.00%	1.50%	1.00%
