TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-21 08:00:00
Scenario: drone-logistics  |  Model: PeerTrust  |  Total Records: 30

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-21 08:01:07	PeerTrust	YES	0,99137	3,32062	21956,26139	1375,63520	3629,20071	6889,35718	169,25227	0,0	0,0	181	8	3	7	1	90.50%	4.00%	1.50%	3.50%	0.50%
2	2026-03-21 08:02:14	PeerTrust	YES	0,99631	3,27133	25786,48248	556,83458	1793,23080	9470,14289	188,03345	0,0	0,0	179	5	5	11	0	89.50%	2.50%	2.50%	5.50%	0.00%
3	2026-03-21 08:03:21	PeerTrust	YES	0,99088	4,19041	25769,28819	1134,92055	3799,45074	6258,18957	184,80925	0,0	0,0	175	4	0	20	1	87.50%	2.00%	0.00%	10.00%	0.50%
4	2026-03-21 08:04:28	PeerTrust	YES	0,99322	4,64978	18239,80407	1531,28481	2817,39209	5114,99654	138,51739	0,0	0,0	189	1	2	7	1	94.50%	0.50%	1.00%	3.50%	0.50%
5	2026-03-21 08:05:35	PeerTrust	YES	0,99589	3,25074	29005,34510	982,39327	1843,40060	9186,57125	205,08855	0,0	0,0	187	9	6	0	0	93.50%	4.50%	3.00%	0.00%	0.00%
6	2026-03-21 08:06:42	PeerTrust	YES	0,99343	4,79291	21107,26507	823,21775	3749,44463	10804,74598	182,42337	0,0	0,0	183	7	1	8	1	91.50%	3.50%	0.50%	4.00%	0.50%
7	2026-03-21 08:07:49	PeerTrust	YES	0,99734	4,13835	17872,74061	1081,55760	2886,56710	3317,58914	125,79227	0,0	0,0	193	5	0	2	0	96.50%	2.50%	0.00%	1.00%	0.00%
8	2026-03-21 08:08:56	PeerTrust	YES	0,99995	4,29014	26110,64951	578,62556	3000,27427	6542,59230	181,16071	0,0	0,0	184	5	1	10	0	92.00%	2.50%	0.50%	5.00%	0.00%
9	2026-03-21 08:09:03	PeerTrust	YES	0,99695	4,22365	20118,97973	1509,41364	2921,20060	5294,80577	149,22200	0,0	0,0	188	8	1	3	0	94.00%	4.00%	0.50%	1.50%	0.00%
10	2026-03-21 08:10:10	PeerTrust	YES	0,99719	3,14724	16938,21340	704,08238	1576,07532	4697,86978	119,58120	0,0	0,0	181	2	4	13	0	90.50%	1.00%	2.00%	6.50%	0.00%
11	2026-03-21 08:11:17	PeerTrust	YES	0,99295	2,98275	23438,03013	851,15628	3706,06060	5810,13074	169,02689	0,0	0,0	175	9	5	10	1	87.50%	4.50%	2.50%	5.00%	0.50%
12	2026-03-21 08:12:24	PeerTrust	YES	0,99669	3,21320	16531,40545	1291,97275	3098,33449	3860,96907	123,91341	0,0	0,0	181	10	2	7	0	90.50%	5.00%	1.00%	3.50%	0.00%
13	2026-03-21 08:13:31	PeerTrust	YES	0,99464	3,10960	17969,93075	607,19455	1842,64481	9813,56687	151,16668	0,0	0,0	181	1	5	12	1	90.50%	0.50%	2.50%	6.00%	0.50%
14	2026-03-21 08:14:38	PeerTrust	YES	0,99046	4,68920	26277,03547	797,24280	2036,82947	6720,57339	179,15841	0,0	0,0	187	1	5	6	1	93.50%	0.50%	2.50%	3.00%	0.50%
15	2026-03-21 08:15:45	PeerTrust	YES	0,99183	3,74163	31359,26881	944,15798	2118,57492	10230,70841	223,26355	0,0	0,0	190	8	1	0	1	95.00%	4.00%	0.50%	0.00%	0.50%
16	2026-03-21 08:16:52	PeerTrust	YES	0,99696	3,02316	31021,93880	781,12333	2206,48038	8021,37758	210,15460	0,0	0,0	191	2	2	5	0	95.50%	1.00%	1.00%	2.50%	0.00%
17	2026-03-21 08:17:59	PeerTrust	YES	0,99359	2,96051	26635,89027	1765,87789	3822,98928	4110,57030	181,67664	0,0	0,0	193	4	0	3	0	96.50%	2.00%	0.00%	1.50%	0.00%
18	2026-03-21 08:18:06	PeerTrust	YES	0,99262	3,55990	26977,65900	1532,99694	3225,83328	7901,51657	198,19003	0,0	0,0	186	7	2	4	1	93.00%	3.50%	1.00%	2.00%	0.50%
19	2026-03-21 08:19:13	PeerTrust	YES	0,99523	4,37122	16619,11635	1509,48423	1720,87329	5938,87064	128,94172	0,0	0,0	189	8	3	0	0	94.50%	4.00%	1.50%	0.00%	0.00%
20	2026-03-21 08:20:20	PeerTrust	YES	0,99988	3,01459	25937,77818	777,54469	3461,65217	10240,90479	202,08940	0,0	0,0	193	5	1	1	0	96.50%	2.50%	0.50%	0.50%	0.00%
21	2026-03-21 08:21:27	PeerTrust	YES	0,99970	3,00574	18786,01089	1482,81011	2169,50328	4997,50000	137,17912	0,0	0,0	185	4	5	6	0	92.50%	2.00%	2.50%	3.00%	0.00%
22	2026-03-21 08:22:34	PeerTrust	YES	0,99447	3,14928	23455,34692	1497,39085	1297,66563	6504,87766	163,77641	0,0	0,0	186	1	4	9	0	93.00%	0.50%	2.00%	4.50%	0.00%
23	2026-03-21 08:23:41	PeerTrust	YES	0,99619	3,53966	23641,74159	849,93431	2947,27568	11078,01860	192,58485	0,0	0,0	183	2	3	12	0	91.50%	1.00%	1.50%	6.00%	0.00%
24	2026-03-21 08:24:48	PeerTrust	YES	0,99560	4,20149	23043,27258	1502,89245	3076,14915	3969,19855	157,95756	0,0	0,0	190	3	5	2	0	95.00%	1.50%	2.50%	1.00%	0.00%
25	2026-03-21 08:25:55	PeerTrust	YES	0,99964	3,51317	23873,74647	1568,03928	1132,75652	4395,32063	154,84931	0,0	0,0	179	7	1	13	0	89.50%	3.50%	0.50%	6.50%	0.00%
26	2026-03-21 08:26:02	PeerTrust	YES	0,99611	3,29384	30813,67641	1119,69991	2325,43342	9642,07343	219,50442	0,0	0,0	190	4	6	0	0	95.00%	2.00%	3.00%	0.00%	0.00%
27	2026-03-21 08:27:09	PeerTrust	YES	0,99837	4,13650	28126,46795	1203,23167	2909,52442	11127,61773	216,83421	0,0	0,0	178	5	0	17	0	89.00%	2.50%	0.00%	8.50%	0.00%
28	2026-03-21 08:28:16	PeerTrust	YES	0,99935	4,66151	23209,84338	1287,08270	3671,37071	4506,22073	163,37259	0,0	0,0	187	1	2	10	0	93.50%	0.50%	1.00%	5.00%	0.00%
29	2026-03-21 08:29:23	PeerTrust	YES	0,99601	4,75366	23569,87203	1107,76083	3840,55220	10785,23705	196,51711	0,0	0,0	190	10	6	0	0	95.00%	5.00%	3.00%	0.00%	0.00%
30	2026-03-21 08:30:30	PeerTrust	YES	0,99453	3,18008	22016,67304	1565,02071	3170,43791	5540,76165	161,46447	0,0	0,0	189	7	6	0	1	94.50%	3.50%	3.00%	0.00%	0.50%
