TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-21 08:00:00
Scenario: drone-logistics  |  Model: PowerTrust  |  Total Records: 30

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-21 08:01:07	PowerTrust	YES	0,99602	3,62681	26261,85540	786,46851	3733,75029	8710,51769	197,46296	0,0	0,0	184	0	1	15	0	92.00%	0.00%	0.50%	7.50%	0.00%
2	2026-03-21 08:02:14	PowerTrust	YES	0,99665	3,48342	25033,39421	906,17808	2526,94879	4906,39801	166,86460	0,0	0,0	185	4	3	8	0	92.50%	2.00%	1.50%	4.00%	0.00%
3	2026-03-21 08:03:21	PowerTrust	YES	0,99368	4,27150	21017,57079	1744,59978	1768,55528	4434,08614	144,82406	0,0	0,0	177	2	1	19	1	88.50%	1.00%	0.50%	9.50%	0.50%
4	2026-03-21 08:04:28	PowerTrust	YES	0,99416	3,29519	22018,05315	1077,04557	1391,27933	10862,97035	176,74674	0,0	0,0	178	2	3	16	1	89.00%	1.00%	1.50%	8.00%	0.50%
5	2026-03-21 08:05:35	PowerTrust	YES	0,99996	4,58372	23434,01648	1555,99006	3194,63888	5425,28200	168,04964	0,0	0,0	187	4	4	5	0	93.50%	2.00%	2.00%	2.50%	0.00%
6	2026-03-21 08:06:42	PowerTrust	YES	0,99248	4,50902	22758,20839	1428,10572	2248,59059	5710,91644	160,72911	0,0	0,0	182	9	2	6	1	91.00%	4.50%	1.00%	3.00%	0.50%
7	2026-03-21 08:07:49	PowerTrust	YES	0,99216	3,05460	29285,05535	1897,99435	1541,06187	7701,12927	202,12620	0,0	0,0	188	8	2	1	1	94.00%	4.00%	1.00%	0.50%	0.50%
8	2026-03-21 08:08:56	PowerTrust	YES	0,99739	3,82374	27099,98695	1794,38175	2054,62022	5313,81951	181,31404	0,0	0,0	188	2	5	5	0	94.00%	1.00%	2.50%	2.50%	0.00%
9	2026-03-21 08:09:03	PowerTrust	YES	0,99470	4,12567	24346,34748	1736,95009	1181,19030	4286,49578	157,75492	0,0	0,0	180	3	2	15	0	90.00%	1.50%	1.00%	7.50%	0.00%
10	2026-03-21 08:10:10	PowerTrust	YES	0,99716	3,36962	22229,80307	1756,55714	2004,12485	7792,08813	168,91287	0,0	0,0	195	2	0	3	0	97.50%	1.00%	0.00%	1.50%	0.00%
