TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-21 08:00:00
Scenario: drone-logistics  |  Model: TRIP  |  Total Records: 30

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-21 08:01:07	TRIP	YES	0,97282	3,34493	31879,97598	1882,66717	1879,34126	9702,98189	226,72483	0,0	0,0	184	4	3	6	3	92.00%	2.00%	1.50%	3.00%	1.50%
2	2026-03-21 08:02:14	TRIP	YES	0,98094	4,62352	27418,61814	1139,06407	3158,07450	4238,65400	179,77205	0,0	0,0	183	8	1	7	1	91.50%	4.00%	0.50%	3.50%	0.50%
3	2026-03-21 08:03:21	TRIP	YES	0,99071	3,78499	25082,27626	771,95588	2935,81874	10734,88076	197,62466	0,0	0,0	187	7	2	3	1	93.50%	3.50%	1.00%	1.50%	0.50%
4	2026-03-21 08:04:28	TRIP	YES	0,97753	4,75429	17496,99349	2135,54610	1783,78714	7648,07924	145,32203	0,0	0,0	189	8	0	2	1	94.50%	4.00%	0.00%	1.00%	0.50%
5	2026-03-21 08:05:35	TRIP	YES	0,98251	5,55179	23811,94361	1215,27259	3372,81944	10621,60455	195,10820	0,0	0,0	178	1	2	18	1	89.00%	0.50%	1.00%	9.00%	0.50%
6	2026-03-21 08:06:42	TRIP	YES	0,99256	5,60541	17977,28228	1799,28197	2810,68214	4945,67070	137,66459	0,0	0,0	185	6	1	7	1	92.50%	3.00%	0.50%	3.50%	0.50%
7	2026-03-21 08:07:49	TRIP	YES	0,98748	4,29644	18130,90953	1657,34385	2258,32350	7355,54930	147,01063	0,0	0,0	187	2	1	8	2	93.50%	1.00%	0.50%	4.00%	1.00%
8	2026-03-21 08:08:56	TRIP	YES	0,97844	4,11003	19094,62914	2247,43106	2528,77870	6403,30047	151,37070	0,0	0,0	178	3	2	14	3	89.00%	1.50%	1.00%	7.00%	1.50%
9	2026-03-21 08:09:03	TRIP	YES	0,98787	4,33341	29483,37861	1607,79793	2910,80015	5164,65682	195,83317	0,0	0,0	189	3	6	0	2	94.50%	1.50%	3.00%	0.00%	1.00%
10	2026-03-21 08:10:10	TRIP	YES	0,97963	4,25302	29491,53299	2222,04861	3014,52579	7882,60376	213,05356	0,0	0,0	192	3	1	2	2	96.00%	1.50%	0.50%	1.00%	1.00%
11	2026-03-21 08:11:17	TRIP	YES	0,99025	3,35208	31241,50058	1741,13946	1997,54369	8205,28522	215,92734	0,0	0,0	185	2	0	12	1	92.50%	1.00%	0.00%	6.00%	0.50%
12	2026-03-21 08:12:24	TRIP	YES	0,97725	3,63218	22917,61694	1564,73536	1860,92139	10509,11442	184,26194	0,0	0,0	174	9	4	11	2	87.00%	4.50%	2.00%	5.50%	1.00%
13	2026-03-21 08:13:31	TRIP	YES	0,98681	5,20297	19364,11558	1964,15660	3312,91242	8407,28053	165,24233	0,0	0,0	192	3	4	0	1	96.00%	1.50%	2.00%	0.00%	0.50%
14	2026-03-21 08:14:38	TRIP	YES	0,98298	3,48835	17223,38557	1874,27847	2226,41806	10563,41822	159,43750	0,0	0,0	181	9	1	7	2	90.50%	4.50%	0.50%	3.50%	1.00%
15	2026-03-21 08:15:45	TRIP	YES	0,98497	4,74552	16409,24917	1884,96653	2336,30854	5977,81137	133,04168	0,0	0,0	174	1	3	20	2	87.00%	0.50%	1.50%	10.00%	1.00%
16	2026-03-21 08:16:52	TRIP	YES	0,97374	3,42125	29587,88790	1254,32764	2537,05963	8576,43311	209,77854	0,0	0,0	181	3	2	12	2	90.50%	1.50%	1.00%	6.00%	1.00%
17	2026-03-21 08:17:59	TRIP	YES	0,97144	3,49811	26657,36281	690,87020	2389,42833	4011,45694	168,74559	0,0	0,0	181	1	1	14	3	90.50%	0.50%	0.50%	7.00%	1.50%
18	2026-03-21 08:18:06	TRIP	YES	0,98254	4,47087	28136,14643	931,60285	3078,86994	9834,22640	209,90423	0,0	0,0	178	8	2	11	1	89.00%	4.00%	1.00%	5.50%	0.50%
19	2026-03-21 08:19:13	TRIP	YES	0,99203	3,51503	28492,98023	1304,60659	2227,61898	6120,60835	190,72907	0,0	0,0	186	3	6	5	0	93.00%	1.50%	3.00%	2.50%	0.00%
20	2026-03-21 08:20:20	TRIP	YES	0,98402	5,67638	24292,44493	849,14230	1262,71061	10572,63869	184,88468	0,0	0,0	177	8	5	9	1	88.50%	4.00%	2.50%	4.50%	0.50%
21	2026-03-21 08:21:27	TRIP	YES	0,97092	3,43089	33565,61874	2129,83670	3882,63248	10590,19891	250,84143	0,0	0,0	171	1	3	22	3	85.50%	0.50%	1.50%	11.00%	1.50%
22	2026-03-21 08:22:34	TRIP	YES	0,96859	3,80162	26045,49988	944,23422	2783,98550	5564,98913	176,69354	0,0	0,0	180	1	4	11	4	90.00%	0.50%	2.00%	5.50%	2.00%
23	2026-03-21 08:23:41	TRIP	YES	0,96848	4,69921	28342,56866	681,31049	1661,61648	5791,92119	182,38708	0,0	0,0	186	1	4	6	3	93.00%	0.50%	2.00%	3.00%	1.50%
24	2026-03-21 08:24:48	TRIP	YES	0,96822	4,23275	21164,97994	2007,41603	3219,11919	10985,32635	186,88421	0,0	0,0	171	6	1	18	4	85.50%	3.00%	0.50%	9.00%	2.00%
25	2026-03-21 08:25:55	TRIP	YES	0,97790	5,64387	18022,74793	1127,34779	3876,33733	8007,46777	155,16950	0,0	0,0	176	5	6	11	2	88.00%	2.50%	3.00%	5.50%	1.00%
26	2026-03-21 08:26:02	TRIP	YES	0,96856	3,89374	25888,30116	1157,05420	2371,01142	4655,19699	170,35782	0,0	0,0	177	6	1	13	3	88.50%	3.00%	0.50%	6.50%	1.50%
27	2026-03-21 08:27:09	TRIP	YES	0,99343	4,50300	31057,63934	1636,29948	3914,19373	11219,09867	239,13616	0,0	0,0	191	6	2	1	0	95.50%	3.00%	1.00%	0.50%	0.00%
28	2026-03-21 08:28:16	TRIP	YES	0,97194	5,45322	28221,85119	753,98383	2335,41865	11847,42096	215,79337	0,0	0,0	183	2	1	11	3	91.50%	1.00%	0.50%	5.50%	1.50%
29	2026-03-21 08:29:23	TRIP	YES	0,97197	5,62929	32848,15770	1150,02697	2844,30333	5100,47761	209,71483	0,0	0,0	174	8	5	10	3	87.00%	4.00%	2.50%	5.00%	1.50%
30	2026-03-21 08:30:30	TRIP	YES	0,97603	4,99233	25785,64035	831,81409	4286,28084	11983,20334	214,43469	0,0	0,0	175	9	2	11	3	87.50%	4.50%	1.00%	5.50%	1.50%
