SimulationID,NodeID,NodeType,EnergyConsumed,TransmittedDistance,X,Y,NeighborsCount,Goodness
1,1,Client,"1224,37837","122437,84",14.53,18.54,1,"-1,00"
1,2,Client,"2629,49027","262949,03",11.34,60.68,2,"-1,00"
1,3,Client,"953,05871","95305,87",49.73,78.72,4,"-1,00"
1,4,Client,"646,09868","64609,87",34.38,82.25,7,"-1,00"
1,5,Client,"2014,05208","201405,21",57.29,15.18,4,"-1,00"
1,6,Client,"1944,91443","194491,44",34.21,13.59,3,"-1,00"
1,7,Client,"1048,33234","104833,23",37.51,17.84,4,"-1,00"
1,8,Client,"862,23267","86223,27",11.6,83.35,7,"-1,00"
1,9,Client,"738,58807","73858,81",48.75,2.61,3,"-1,00"
1,10,Client,"2398,22958","239822,96",59.0,29.24,8,"-1,00"
1,11,Client,"1083,17189","108317,19",63.42,52.22,7,"-1,00"
1,12,Client,"726,29630","72629,63",68.4,59.24,8,"-1,00"
1,13,Client,"802,83354","80283,35",81.34,30.92,7,"-1,00"
1,14,Client,"643,40917","64340,92",13.28,52.9,2,"-1,00"
1,15,Client,"2289,41580","228941,58",96.73,50.72,8,"-1,00"
1,16,Client,"2091,70678","209170,68",28.54,20.6,3,"-1,00"
1,17,Malicious Server,"172,25386","17225,39",47.54,18.93,1,"0,00"
1,18,Malicious Server,"37,56718","3756,72",22.12,26.13,8,"0,00"
1,19,Malicious Server,"56,40045","5640,05",90.79,18.89,1,"0,00"
1,20,Malicious Server,"48,27845","4827,85",87.93,71.25,6,"0,00"
1,21,Malicious Server,"107,20664","10720,66",88.24,24.09,2,"0,00"
1,22,Malicious Server,"37,82339","3782,34",72.82,85.51,7,"0,00"
1,23,Malicious Server,"64,25458","6425,46",58.17,7.22,7,"0,00"
1,24,Malicious Server,"82,17732","8217,73",45.68,39.18,3,"0,00"
1,25,Malicious Server,"54,87641","5487,64",36.42,27.89,6,"0,00"
1,26,Malicious Server,"64,56154","6456,15",7.73,15.1,8,"0,00"
1,27,Malicious Server,"52,54106","5254,11",34.98,87.1,3,"0,00"
1,28,Malicious Server,"141,10768","14110,77",60.71,18.31,4,"0,00"
1,29,Malicious Server,"68,90733","6890,73",48.96,97.58,8,"0,00"
1,30,Malicious Server,"92,59143","9259,14",72.08,72.67,4,"0,00"
1,31,Benevolent Server,"39,57756","3957,76",23.35,91.04,3,"1,00"
1,32,Benevolent Server,"134,85446","13485,45",42.11,6.25,8,"1,00"
1,33,Benevolent Server,"78,57258","7857,26",42.87,39.85,2,"1,00"
1,34,Benevolent Server,"39,80325","3980,32",55.61,3.19,7,"1,00"
1,35,Benevolent Server,"52,49733","5249,73",30.4,64.17,2,"1,00"
1,36,Benevolent Server,"31,46028","3146,03",17.53,46.09,1,"1,00"
