TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-20 08:00:00
Scenario: drone-swarm  |  Model: BTRM_WSN  |  Total Records: 50

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-20 08:01:07	BTRM_WSN	YES	0,95348	2,89138	8340,11565	451,69095	367,27061	651,84199	327,03064	0,0	0,0	26	1	0	3	0	86.67%	3.33%	0.00%	10.00%	0.00%
2	2026-03-20 08:02:14	BTRM_WSN	YES	0,97320	2,83422	8624,58818	93,00905	602,73702	472,53992	326,42914	0,0	0,0	26	0	1	3	0	86.67%	0.00%	3.33%	10.00%	0.00%
3	2026-03-20 08:03:21	BTRM_WSN	YES	0,95725	2,28074	10096,35530	208,20983	251,15480	1234,61600	393,01120	0,0	0,0	25	0	0	4	1	83.33%	0.00%	0.00%	13.33%	3.33%
4	2026-03-20 08:04:28	BTRM_WSN	YES	0,95877	2,22685	8969,71127	94,66756	178,17318	1106,38221	344,96447	0,0	0,0	26	0	0	3	1	86.67%	0.00%	0.00%	10.00%	3.33%
5	2026-03-20 08:05:35	BTRM_WSN	YES	0,97596	2,68391	9426,59249	263,59224	597,90937	785,35603	369,11500	0,0	0,0	26	1	0	3	0	86.67%	3.33%	0.00%	10.00%	0.00%
6	2026-03-20 08:06:42	BTRM_WSN	YES	0,97741	3,12708	8215,83656	256,76595	700,21440	260,55747	314,44581	0,0	0,0	27	1	0	2	0	90.00%	3.33%	0.00%	6.67%	0.00%
7	2026-03-20 08:07:49	BTRM_WSN	YES	0,98184	2,09554	5836,26858	313,11153	206,12523	509,01856	228,81746	0,0	0,0	28	0	1	1	0	93.33%	0.00%	3.33%	3.33%	0.00%
8	2026-03-20 08:08:56	BTRM_WSN	YES	0,96857	2,58983	8669,30467	122,19192	555,97868	1179,23958	350,89049	0,0	0,0	27	1	0	1	1	90.00%	3.33%	0.00%	3.33%	3.33%
9	2026-03-20 08:09:03	BTRM_WSN	YES	0,96580	2,29704	7230,23074	255,06209	398,79431	300,29957	272,81289	0,0	0,0	27	1	0	1	1	90.00%	3.33%	0.00%	3.33%	3.33%
10	2026-03-20 08:10:10	BTRM_WSN	YES	0,98230	2,08727	9891,56820	119,96129	223,11044	1047,00336	376,05478	0,0	0,0	28	1	1	0	0	93.33%	3.33%	3.33%	0.00%	0.00%
11	2026-03-20 08:11:17	BTRM_WSN	YES	0,96154	2,15890	7309,42963	334,50270	582,65634	1196,98689	314,11919	0,0	0,0	27	1	0	1	1	90.00%	3.33%	0.00%	3.33%	3.33%
12	2026-03-20 08:12:24	BTRM_WSN	YES	0,97023	2,27656	8946,37604	169,09183	229,52011	1170,63317	350,52070	0,0	0,0	27	1	1	0	1	90.00%	3.33%	3.33%	0.00%	3.33%
13	2026-03-20 08:13:31	BTRM_WSN	YES	0,97958	3,26691	9819,50504	315,08998	523,48454	220,45444	362,61780	0,0	0,0	29	0	0	1	0	96.67%	0.00%	0.00%	3.33%	0.00%
14	2026-03-20 08:14:38	BTRM_WSN	YES	0,97459	2,40168	7235,05315	87,28967	648,42449	846,93247	293,92333	0,0	0,0	27	1	0	2	0	90.00%	3.33%	0.00%	6.67%	0.00%
15	2026-03-20 08:15:45	BTRM_WSN	YES	0,97611	2,27967	7667,09547	212,83599	373,52920	1027,05132	309,35040	0,0	0,0	28	0	0	2	0	93.33%	0.00%	0.00%	6.67%	0.00%
16	2026-03-20 08:16:52	BTRM_WSN	YES	0,95551	2,80319	9039,43104	187,03857	534,06628	753,36758	350,46345	0,0	0,0	26	1	0	2	1	86.67%	3.33%	0.00%	6.67%	3.33%
17	2026-03-20 08:17:59	BTRM_WSN	YES	0,96505	2,36822	9063,82578	267,48728	536,92291	242,68414	337,03067	0,0	0,0	27	0	0	2	1	90.00%	0.00%	0.00%	6.67%	3.33%
18	2026-03-20 08:18:06	BTRM_WSN	YES	0,95739	2,17841	6779,80532	208,04588	174,25145	1056,53638	273,95463	0,0	0,0	26	1	0	2	1	86.67%	3.33%	0.00%	6.67%	3.33%
19	2026-03-20 08:19:13	BTRM_WSN	YES	0,97917	3,04806	5789,20768	408,16164	193,26624	211,74018	220,07919	0,0	0,0	29	1	1	0	0	96.67%	3.33%	3.33%	0.00%	0.00%
20	2026-03-20 08:20:20	BTRM_WSN	YES	0,97483	2,54300	6021,93621	92,82121	348,62250	1119,53370	252,76379	0,0	0,0	28	1	0	1	0	93.33%	3.33%	0.00%	3.33%	0.00%
21	2026-03-20 08:21:27	BTRM_WSN	YES	0,97956	2,31631	8579,90496	281,48595	387,67168	549,91849	326,63270	0,0	0,0	27	0	0	3	0	90.00%	0.00%	0.00%	10.00%	0.00%
22	2026-03-20 08:22:34	BTRM_WSN	YES	0,95399	2,66294	10291,98275	216,01572	570,05851	1139,98038	407,26791	0,0	0,0	28	0	0	1	1	93.33%	0.00%	0.00%	3.33%	3.33%
