TRMSim-WSN Simulation Results - Tab-Separated Values
Generated: 2026-03-20 08:00:00
Scenario: drone-swarm  |  Model: LFTM  |  Total Records: 50

ID	Timestamp	Model	Satisfied	Avg_Satisfaction	Avg_Path_Length	Client_Energy	Malicious_Energy	Benevolent_Energy	Relay_Energy	Avg_Sensor_Energy	PreTrusted_Energy	PowerNode_Energy	VeryHigh_Count	High_Count	Medium_Count	Low_Count	VeryLow_Count	VeryHigh_%	High_%	Medium_%	Low_%	VeryLow_%
1	2026-03-20 08:01:07	LFTM	YES	0,98110	3,14807	6399,56502	327,73829	634,25438	247,28074	253,62795	0,0	0,0	26	1	0	3	0	86.67%	3.33%	0.00%	10.00%	0.00%
2	2026-03-20 08:02:14	LFTM	YES	0,97729	2,76560	9402,74752	460,14353	398,90769	1132,14763	379,79821	0,0	0,0	27	1	1	1	0	90.00%	3.33%	3.33%	3.33%	0.00%
3	2026-03-20 08:03:21	LFTM	YES	0,96649	2,22479	9719,77921	285,62906	407,51774	887,43234	376,67861	0,0	0,0	26	1	1	2	0	86.67%	3.33%	3.33%	6.67%	0.00%
4	2026-03-20 08:04:28	LFTM	YES	0,96771	3,10813	8350,72109	139,58332	675,37512	754,23186	330,66371	0,0	0,0	28	0	1	1	0	93.33%	0.00%	3.33%	3.33%	0.00%
5	2026-03-20 08:05:35	LFTM	YES	0,98675	2,45155	7545,58165	117,19636	496,74853	1287,96799	314,91648	0,0	0,0	29	1	1	0	0	96.67%	3.33%	3.33%	0.00%	0.00%
6	2026-03-20 08:06:42	LFTM	YES	0,98499	2,65963	6279,62975	169,98038	264,85420	1165,30327	262,65892	0,0	0,0	26	1	1	2	0	86.67%	3.33%	3.33%	6.67%	0.00%
7	2026-03-20 08:07:49	LFTM	YES	0,97676	2,77314	6082,80670	212,00480	759,76715	1078,42664	271,10018	0,0	0,0	27	1	0	2	0	90.00%	3.33%	0.00%	6.67%	0.00%
8	2026-03-20 08:08:56	LFTM	YES	0,99106	2,80657	8119,85718	355,88229	383,09600	1271,72158	337,68523	0,0	0,0	28	0	1	1	0	93.33%	0.00%	3.33%	3.33%	0.00%
9	2026-03-20 08:09:03	LFTM	YES	0,97271	3,10178	5910,31196	140,17451	272,98389	405,05835	224,28429	0,0	0,0	27	1	1	1	0	90.00%	3.33%	3.33%	3.33%	0.00%
10	2026-03-20 08:10:10	LFTM	YES	0,98843	3,03053	7003,38973	338,40215	501,73381	357,08191	273,35359	0,0	0,0	27	1	0	2	0	90.00%	3.33%	0.00%	6.67%	0.00%
11	2026-03-20 08:11:17	LFTM	YES	0,99001	2,26961	9288,90409	371,60551	532,95487	1228,67395	380,73795	0,0	0,0	28	0	0	2	0	93.33%	0.00%	0.00%	6.67%	0.00%
12	2026-03-20 08:12:24	LFTM	YES	0,97981	2,73445	9246,32787	389,58009	424,53740	981,37430	368,06066	0,0	0,0	27	0	1	2	0	90.00%	0.00%	3.33%	6.67%	0.00%
13	2026-03-20 08:13:31	LFTM	YES	0,97442	2,98516	9435,94871	207,40434	226,95949	277,79434	338,27023	0,0	0,0	27	0	1	2	0	90.00%	0.00%	3.33%	6.67%	0.00%
14	2026-03-20 08:14:38	LFTM	YES	0,96863	2,89020	9711,51863	425,98162	745,84012	363,88087	374,90737	0,0	0,0	27	0	0	3	0	90.00%	0.00%	0.00%	10.00%	0.00%
15	2026-03-20 08:15:45	LFTM	YES	0,96709	2,37271	6142,14525	204,60226	405,88615	952,68359	256,84391	0,0	0,0	26	0	0	3	1	86.67%	0.00%	0.00%	10.00%	3.33%
16	2026-03-20 08:16:52	LFTM	YES	0,97764	2,44399	9873,47970	285,32703	480,96678	810,99305	381,69222	0,0	0,0	27	1	0	2	0	90.00%	3.33%	0.00%	6.67%	0.00%
