SimulationID,NodeID,NodeType,EnergyConsumed,TransmittedDistance,X,Y,NeighborsCount,Goodness
1,1,Client,"1925,19190","192519,19",67.97,17.62,2,"-1,00"
1,2,Client,"692,10356","69210,36",3.93,27.07,2,"-1,00"
1,3,Client,"563,17274","56317,27",38.04,72.27,2,"-1,00"
1,4,Client,"1843,71613","184371,61",87.75,69.63,7,"-1,00"
1,5,Client,"1016,09036","101609,04",87.42,17.08,2,"-1,00"
1,6,Client,"1819,00289","181900,29",41.29,55.19,5,"-1,00"
1,7,Malicious Server,"115,27418","11527,42",11.21,39.72,8,"0,00"
1,8,Malicious Server,"55,06952","5506,95",43.05,30.28,8,"0,00"
1,9,Benevolent Server,"11,36802","1136,80",18.4,30.01,2,"1,00"
1,10,Benevolent Server,"21,88142","2188,14",77.35,47.21,5,"1,00"
1,11,Benevolent Server,"21,83728","2183,73",19.75,87.01,6,"1,00"
1,12,Benevolent Server,"11,65703","1165,70",44.22,27.29,5,"1,00"
1,13,Benevolent Server,"26,35920","2635,92",68.86,11.28,6,"1,00"
1,14,Benevolent Server,"52,03622","5203,62",74.62,23.84,1,"1,00"
1,15,Benevolent Server,"82,54020","8254,02",42.19,53.41,8,"1,00"
1,16,Benevolent Server,"31,25801","3125,80",30.69,39.9,1,"1,00"
1,17,Benevolent Server,"62,34472","6234,47",78.84,67.04,3,"1,00"
1,18,Benevolent Server,"29,12303","2912,30",18.6,96.5,4,"1,00"
1,19,Relay/Other,"48,02220","4802,22",42.64,96.87,7,"-1,00"
1,20,Relay/Other,"45,77973","4577,97",16.2,59.12,6,"-1,00"
1,21,Relay/Other,"144,03230","14403,23",8.43,39.26,7,"-1,00"
1,22,Relay/Other,"91,70979","9170,98",51.89,90.05,1,"-1,00"
1,23,Relay/Other,"97,70581","9770,58",52.17,42.28,7,"-1,00"
1,24,Relay/Other,"30,60808","3060,81",57.94,94.62,2,"-1,00"
1,25,Relay/Other,"104,80471","10480,47",11.7,29.46,6,"-1,00"
1,26,Relay/Other,"66,87757","6687,76",64.86,56.91,8,"-1,00"
1,27,Relay/Other,"13,39782","1339,78",15.81,60.43,7,"-1,00"
1,28,Relay/Other,"27,08707","2708,71",33.82,24.81,8,"-1,00"
1,29,Relay/Other,"143,37359","14337,36",3.94,80.47,5,"-1,00"
1,30,Relay/Other,"60,30460","6030,46",84.39,67.75,4,"-1,00"
2,1,Client,"1601,93043","160193,04",44.54,81.28,5,"-1,00"
2,2,Client,"1751,92636","175192,64",10.57,44.4,7,"-1,00"
2,3,Client,"2054,75490","205475,49",85.25,80.82,3,"-1,00"
2,4,Client,"1200,24163","120024,16",40.72,76.93,1,"-1,00"
2,5,Client,"1531,95613","153195,61",21.27,7.53,1,"-1,00"
2,6,Client,"1968,35186","196835,19",69.64,28.3,8,"-1,00"
2,7,Malicious Server,"159,50689","15950,69",13.89,4.93,6,"0,00"
2,8,Malicious Server,"125,47140","12547,14",94.21,47.56,6,"0,00"
2,9,Benevolent Server,"50,49347","5049,35",26.83,81.76,2,"1,00"
2,10,Benevolent Server,"28,23054","2823,05",17.64,56.94,4,"1,00"
2,11,Benevolent Server,"75,48485","7548,48",67.06,27.83,7,"1,00"
2,12,Benevolent Server,"65,02133","6502,13",94.85,67.49,8,"1,00"
2,13,Benevolent Server,"79,00560","7900,56",59.71,2.81,5,"1,00"
