SimulationID,NodeID,NodeType,EnergyConsumed
1,1,Benevolent Server,0,000000
1,2,Client,10242,090000
1,3,Malicious Server,259,670000
1,4,Benevolent Server,287,710000
1,5,Malicious Server,19,320000
1,6,Malicious Server,599,740000
1,7,Malicious Server,448,640000
1,8,Malicious Server,7202,830000
1,9,Malicious Server,217,310000
1,10,Malicious Server,201,040000
1,11,Benevolent Server,507,100000
1,12,Client,1218,780000
1,13,Client,5913,120000
1,14,Malicious Server,181,150000
1,15,Benevolent Server,514,720000
1,16,Malicious Server,483,690000
1,17,Client,6369,520000
1,18,Malicious Server,463,150000
1,19,Benevolent Server,16,150000
1,20,Malicious Server,343,140000
1,21,Benevolent Server,189,000000
1,22,Malicious Server,10746,610000
1,23,Benevolent Server,231,000000
1,24,Malicious Server,168,000000
1,25,Malicious Server,0,000000
1,26,Malicious Server,13431,870000
1,27,Malicious Server,91,260000
1,28,Client,3407,670000
1,29,Malicious Server,126,780000
1,30,Malicious Server,224,000000
1,31,Benevolent Server,294,000000
1,32,Malicious Server,197,860000
1,33,Benevolent Server,161,000000
1,34,Client,8047,440000
1,35,Malicious Server,371,000000
1,36,Malicious Server,210,000000
1,37,Benevolent Server,49,000000
1,38,Benevolent Server,364,000000
1,39,Malicious Server,8812,850000
1,40,Malicious Server,11573,220000
1,41,Benevolent Server,133,000000
1,42,Malicious Server,301,600000
1,43,Malicious Server,1550,960000
1,44,Benevolent Server,209,490000
1,45,Client,6421,870000
1,46,Benevolent Server,387,540000
1,47,Malicious Server,1062,710000
1,48,Malicious Server,133,000000
1,49,Malicious Server,406,000000
1,50,Benevolent Server,196,000000
2,1,Benevolent Server,0,000000
2,2,Client,10242,090000
2,3,Malicious Server,259,670000
2,4,Benevolent Server,287,710000
2,5,Malicious Server,19,320000
2,6,Malicious Server,599,740000
2,7,Malicious Server,448,640000
2,8,Malicious Server,7202,830000
2,9,Malicious Server,217,310000
2,10,Malicious Server,201,040000
2,11,Benevolent Server,507,100000
2,12,Client,1218,780000
2,13,Client,5913,120000
2,14,Malicious Server,181,150000
2,15,Benevolent Server,514,720000
2,16,Malicious Server,483,690000
2,17,Client,6369,520000
2,18,Malicious Server,463,150000
2,19,Benevolent Server,16,150000
2,20,Malicious Server,343,140000
2,21,Benevolent Server,189,000000
2,22,Malicious Server,10746,610000
2,23,Benevolent Server,231,000000
2,24,Malicious Server,168,000000
2,25,Malicious Server,0,000000
2,26,Malicious Server,13431,870000
2,27,Malicious Server,91,260000
2,28,Client,3407,670000
2,29,Malicious Server,126,780000
2,30,Malicious Server,224,000000
2,31,Benevolent Server,294,000000
2,32,Malicious Server,197,860000
2,33,Benevolent Server,161,000000
2,34,Client,8047,440000
2,35,Malicious Server,371,000000
2,36,Malicious Server,210,000000
2,37,Benevolent Server,49,000000
2,38,Benevolent Server,364,000000
2,39,Malicious Server,8812,850000
2,40,Malicious Server,11573,220000
2,41,Benevolent Server,133,000000
2,42,Malicious Server,301,600000
2,43,Malicious Server,1550,960000
2,44,Benevolent Server,209,490000
2,45,Client,6421,870000
2,46,Benevolent Server,387,540000
2,47,Malicious Server,1062,710000
2,48,Malicious Server,133,000000
2,49,Malicious Server,406,000000
2,50,Benevolent Server,196,000000
3,1,Malicious Server,247,700000
3,2,Malicious Server,127,680000
3,3,Malicious Server,655,240000
3,4,Malicious Server,451,660000
3,5,Benevolent Server,327,000000
3,6,Client,13874,290000
3,7,Malicious Server,16420,070000
3,8,Client,4250,540000
3,9,Malicious Server,839,240000
3,10,Client,4728,030000
3,11,Client,6513,520000
3,12,Benevolent Server,151,620000
3,13,Malicious Server,1118,700000
3,14,Malicious Server,159,600000
3,15,Benevolent Server,376,480000
3,16,Client,10919,680000
3,17,Malicious Server,12,500000
3,18,Malicious Server,788,240000
3,19,Malicious Server,343,140000
3,20,Benevolent Server,365,680000
3,21,Malicious Server,4091,440000
3,22,Relay/Other,6345,150000
3,23,Benevolent Server,294,890000
3,24,Malicious Server,9150,160000
3,25,Malicious Server,358,830000
3,26,Client,9343,930000
3,27,Malicious Server,387,960000
3,28,Benevolent Server,655,420000
3,29,Malicious Server,441,960000
3,30,Malicious Server,485,160000
3,31,Benevolent Server,336,280000
3,32,Benevolent Server,195,040000
3,33,Benevolent Server,632,830000
3,34,Malicious Server,447,510000
3,35,Malicious Server,270,980000
3,36,Benevolent Server,248,960000
3,37,Malicious Server,547,320000
3,38,Malicious Server,913,830000
3,39,Client,3557,710000
3,40,Benevolent Server,350,680000
3,41,Malicious Server,984,410000
3,42,Malicious Server,673,930000
3,43,Malicious Server,438,350000
3,44,Malicious Server,144,440000
3,45,Benevolent Server,167,370000
3,46,Benevolent Server,502,710000
3,47,Malicious Server,1643,720000
3,48,Malicious Server,200,400000
3,49,Client,12,500000
3,50,Malicious Server,111,580000
4,1,Benevolent Server,0,000000
4,2,Client,10242,090000
4,3,Malicious Server,259,670000
4,4,Benevolent Server,287,710000
4,5,Malicious Server,19,320000
4,6,Malicious Server,599,740000
4,7,Malicious Server,448,640000
4,8,Malicious Server,7202,830000
4,9,Malicious Server,217,310000
4,10,Malicious Server,201,040000
4,11,Benevolent Server,507,100000
4,12,Client,1218,780000
4,13,Client,5913,120000
4,14,Malicious Server,181,150000
4,15,Benevolent Server,514,720000
4,16,Malicious Server,483,690000
4,17,Client,6369,520000
4,18,Malicious Server,463,150000
